Date,rf
2018-12-20,9.159349133367827e-05
2018-12-21,9.139959668652762e-05
2018-12-24,9.151593276261906e-05
2018-12-26,9.333807999663188e-05
2018-12-27,9.209756198974267e-05
2018-12-28,9.132204357152671e-05
2018-12-31,9.023605755306726e-05
2019-01-02,9.275663257783609e-05
2019-01-03,9.23689567096812e-05
2019-01-04,9.248526437123133e-05
2019-01-07,9.229141329357387e-05
2019-01-08,9.411320455808976e-05
2019-01-09,9.372566120313048e-05
2019-01-10,9.314427057596082e-05
2019-01-11,9.295045168918037e-05
2019-01-14,9.2562794756514e-05
2019-01-15,9.34543500166722e-05
2019-01-16,9.267909673698394e-05
2019-01-17,9.23689567096812e-05
2019-01-18,9.209756198974267e-05
2019-01-22,9.1981242964096e-05
2019-01-23,9.229141329357387e-05
2019-01-24,9.043000905937452e-05
2019-01-25,9.132204357152671e-05
2019-01-28,9.151593276261906e-05
2019-01-29,9.275663257783609e-05
2019-01-30,9.275663257783609e-05
2019-01-31,9.178736726258988e-05
2019-02-01,9.178736726258988e-05
2019-02-04,9.159349133367827e-05
2019-02-05,9.275663257783609e-05
2019-02-06,9.275663257783609e-05
2019-02-07,9.23689567096812e-05
2019-02-08,9.275663257783609e-05
2019-02-11,9.314427057596082e-05
2019-02-12,9.326055551597808e-05
2019-02-13,9.306674230888394e-05
2019-02-14,9.306674230888394e-05
2019-02-15,9.295045168918037e-05
2019-02-19,9.306674230888394e-05
2019-02-20,9.34543500166722e-05
2019-02-21,9.391943299170924e-05
2019-02-22,9.38419198677449e-05
2019-02-25,9.38419198677449e-05
2019-02-26,9.411320455808976e-05
2019-02-27,9.38419198677449e-05
2019-02-28,9.34543500166722e-05
2019-03-01,9.326055551597808e-05
2019-03-04,9.314427057596082e-05
2019-03-05,9.411320455808976e-05
2019-03-06,9.43069574241223e-05
2019-03-07,9.391943299170924e-05
2019-03-08,9.38419198677449e-05
2019-03-11,9.333807999663188e-05
2019-03-12,9.391943299170924e-05
2019-03-13,9.364814429403285e-05
2019-03-14,9.364814429403285e-05
2019-03-15,9.364814429403285e-05
2019-03-18,9.353187071145328e-05
2019-03-19,9.43069574241223e-05
2019-03-20,9.442320829848087e-05
2019-03-21,9.442320829848087e-05
